Algorithm,# Items,Copies Each,Max Weight,Max Volume,Knapsack Volume,# Iterations,Param1,Param2,Param3,Fitness Score,Train time,Test time
GA,40,4,50,50,3200,1000,200,150,25,3821.10646,0.202,0.001
GA,40,4,50,50,3200,1000,200,150,25,4295.39921,0.22,0.001
GA,40,4,50,50,3200,10000,200,150,25,3881.60559,1.803,0
MIMIC,40,4,50,50,3200,1000,200,100,,3880.35809,3.532,0.001
MIMIC,40,4,50,50,3200,1000,200,100,,4282.97256,2.824,0.002
MIMIC,40,4,50,50,3200,10000,200,100,,3962.00622,25.86,0.001
RHC,40,4,50,50,3200,200000,,,,3442.89807,0.131,0.003
RHC,40,4,50,50,3200,200000,,,,4113.45633,0.148,0.003
RHC,40,4,50,50,3200,200000,,,,3362.62901,0.124,0.003
SA,40,4,50,50,3200,200000,100,0.95,,3585.99408,0.313,0
SA,40,4,50,50,3200,200000,100,0.95,,4201.52864,0.254,0
SA,40,4,50,50,3200,200000,100,0.95,,3386.21816,0.262,0.001
